request id|client name|room type|request type|start date|end date|#adults|#children
90|Julie Lucas|conference_room_large|wedding|2016-04-06|2016-04-12|34|13
91|Johnny Mcbride|normal_room|holiday|2016-04-25|2016-04-29|3|0
92|Paul Freeman|conference_room_small|conference|2016-06-19|2016-06-20|26|0
93|Cynthia Garcia|double_room|holiday|2016-06-26|2016-06-29|4|4
94|Sherry Watson|double_room|holiday|2016-05-06|2016-05-12|1|1
95|Veronica Weber|deluxe_room|business|2016-05-30|2016-06-06|1|0
96|Olivia Mitchell|conference_room_small|party|2016-06-01|2016-06-06|27|15
97|Tyler Stevens|deluxe_room|business|2016-04-21|2016-04-25|3|0
98|Karen Lam|conference_room_small|party|2016-06-10|2016-06-11|25|21
99|Jason Martin|conference_room_small|party|2016-06-17|2016-06-18|19|28
100|Michelle Morrison|double_room|business|2016-05-17|2016-05-20|3|2
101|Amanda Jackson|conference_room_small|conference|2016-06-07|2016-06-15|18|0
102|David Garcia|conference_room_small|wedding|2016-04-19|2016-04-24|31|33
103|Gregory Miller|deluxe_room|holiday|2016-05-24|2016-05-28|4|3
104|Ashley King|double_room|holiday|2016-04-03|2016-04-06|1|0
105|Scott Gibbs|conference_room_small|conference|2016-06-18|2016-06-20|23|0
106|Michelle Jones|double_room|holiday|2016-04-12|2016-04-14|6|1
107|Adam Klein|normal_room|business|2016-04-16|2016-04-20|4|2
108|Susan Higgins|conference_room_large|wedding|2016-05-03|2016-05-16|20|21
109|Susan Dodson|conference_room_large|wedding|2016-04-09|2016-04-11|16|28
110|Margaret Gaines|conference_room_small|party|2016-04-07|2016-04-09|45|1
111|Mark Franklin|deluxe_room|business|2016-06-15|2016-06-22|1|2
112|William Bryant|deluxe_room|holiday|2016-06-06|2016-06-11|3|1
113|Brandi Vang|deluxe_room|holiday|2016-04-29|2016-05-02|3|2
114|Brandon Galvan|conference_room_small|party|2016-05-31|2016-06-03|29|25
115|Todd Wright|normal_room|business|2016-05-21|2016-05-25|2|1
116|Jacob Myers|conference_room_large|conference|2016-05-30|2016-06-02|36|0
117|Brooke Rios|conference_room_large|wedding|2016-06-29|2016-07-02|31|17
118|Danny Jenkins|normal_room|holiday|2016-06-13|2016-06-17|1|2
119|Jason Bridges|conference_room_small|conference|2016-05-11|2016-05-15|16|0
120|Tammy Brooks|deluxe_room|holiday|2016-06-23|2016-06-27|1|0
121|Joshua Clarke|deluxe_room|business|2016-04-21|2016-04-25|2|1
122|Nathaniel Day|deluxe_room|holiday|2016-06-06|2016-06-09|2|1
123|Andrew Watts|conference_room_small|conference|2016-06-25|2016-06-30|19|0
124|Karina Cruz|double_room|holiday|2016-06-10|2016-06-13|1|1
125|Melanie Villanueva MD|double_room|holiday|2016-06-02|2016-06-09|1|4
126|Wendy Michael|double_room|holiday|2016-05-10|2016-05-14|4|0
127|Kelly Rodriguez|conference_room_large|wedding|2016-04-15|2016-04-20|18|24
128|Erin Dean|conference_room_large|party|2016-05-21|2016-05-23|29|29
129|Annette Simpson|conference_room_large|conference|2016-06-13|2016-06-17|15|0
130|Melanie Hughes|conference_room_small|party|2016-04-19|2016-04-20|19|12
131|Joseph Johns|normal_room|business|2016-06-10|2016-06-15|2|0
132|Hannah Kim|conference_room_small|wedding|2016-05-13|2016-05-22|29|4
133|Denise Malone|conference_room_small|conference|2016-05-10|2016-05-11|27|0
134|Bradley Ramirez|conference_room_large|wedding|2016-05-26|2016-05-30|25|41
135|Susan Hubbard|conference_room_small|party|2016-05-13|2016-05-19|21|38
136|Mark Espinoza|normal_room|business|2016-04-12|2016-04-21|1|0
137|Gerald Smith|normal_room|holiday|2016-05-25|2016-05-30|6|3
138|Nicholas Phillips|normal_room|holiday|2016-06-17|2016-06-19|4|1
139|Ethan Johnson|double_room|holiday|2016-05-25|2016-05-28|3|3
140|Charles Jones|conference_room_small|party|2016-05-02|2016-05-18|39|44
141|Alexis Williams|conference_room_large|party|2016-06-17|2016-06-19|26|16
142|Richard Mccall|conference_room_small|party|2016-05-20|2016-05-24|18|27
143|Joseph Adams|conference_room_large|conference|2016-04-14|2016-04-21|32|0
144|Mark Calderon|conference_room_large|wedding|2016-06-08|2016-06-09|14|16
145|April Flores|normal_room|business|2016-04-16|2016-04-22|1|0
146|Isaiah Mitchell|conference_room_small|conference|2016-06-10|2016-06-12|27|0
147|Christopher Crawford|conference_room_large|wedding|2016-04-20|2016-04-29|16|26
148|Zachary Smith|conference_room_large|party|2016-05-19|2016-05-21|13|19
149|Kristine Bradford|conference_room_large|wedding|2016-06-21|2016-06-27|11|18
150|Carrie Prince|conference_room_small|party|2016-05-18|2016-05-21|33|29
151|Ashley Robertson|conference_room_small|wedding|2016-04-04|2016-04-06|24|28
152|Charles Weiss|deluxe_room|business|2016-06-13|2016-07-02|5|0
153|Earl Fowler|conference_room_large|conference|2016-05-10|2016-05-13|41|0
154|Alexis Black|normal_room|holiday|2016-05-17|2016-05-20|6|0
155|Mr. David Jennings|conference_room_small|conference|2016-04-23|2016-04-25|21|0
156|Shane Santana|conference_room_small|conference|2016-05-21|2016-05-26|9|0
157|Lisa Watkins|conference_room_large|party|2016-06-29|2016-07-02|30|25
158|Terry Powell|double_room|holiday|2016-06-14|2016-06-18|2|0
159|Brian Flores|double_room|business|2016-05-20|2016-05-23|2|1
160|Jeremy Young|conference_room_large|conference|2016-06-12|2016-06-14|13|0
161|Richard Jones|deluxe_room|business|2016-06-24|2016-06-28|5|0
162|Lisa Kelly|double_room|holiday|2016-06-26|2016-07-01|4|0
163|Christopher Aguirre|conference_room_large|party|2016-06-22|2016-06-29|22|14
164|Charles Cortez|conference_room_large|wedding|2016-05-25|2016-06-03|33|22
165|Christopher Lozano|double_room|business|2016-04-29|2016-05-06|1|0
166|Grant Terrell|normal_room|business|2016-06-10|2016-06-17|1|0
167|Vanessa Moon|conference_room_large|wedding|2016-06-22|2016-07-01|34|9
168|Angela Butler|normal_room|business|2016-04-24|2016-05-01|2|1
169|Samantha Smith|conference_room_large|party|2016-05-16|2016-05-22|20|42
170|Melanie Zimmerman|deluxe_room|holiday|2016-06-10|2016-06-11|1|0
171|Sherri Perez|deluxe_room|business|2016-06-17|2016-06-19|1|0
172|James Werner|conference_room_small|party|2016-04-09|2016-04-11|13|36
173|Luke Davis|conference_room_large|party|2016-06-03|2016-06-05|22|31
174|Taylor Owens|normal_room|holiday|2016-04-27|2016-05-02|2|0
175|George Reid|deluxe_room|holiday|2016-04-20|2016-04-24|3|3
176|Eric Campbell|double_room|business|2016-04-14|2016-04-16|3|0
177|Mr. Ryan Harris|double_room|business|2016-05-01|2016-05-06|3|0
178|Kevin Sheppard|double_room|holiday|2016-05-24|2016-06-01|3|4
179|Jose Valdez|conference_room_large|conference|2016-05-15|2016-05-19|10|0
180|Bryan Garcia|double_room|holiday|2016-04-13|2016-04-16|1|1
181|Jon Hayes|deluxe_room|business|2016-06-24|2016-07-05|3|0
182|Gregory Salinas|double_room|holiday|2016-05-26|2016-06-02|1|0
183|Richard Strong|deluxe_room|holiday|2016-06-12|2016-06-20|2|5
184|John Moore|conference_room_large|party|2016-05-05|2016-05-09|35|44
185|James Harper|deluxe_room|business|2016-04-20|2016-04-29|1|0
186|Mary Donaldson|deluxe_room|holiday|2016-04-19|2016-04-20|1|1
187|Jessica Leon|normal_room|business|2016-06-04|2016-06-06|4|0
188|Ryan Garner|deluxe_room|business|2016-06-16|2016-06-22|4|0
189|Timothy Bell|normal_room|holiday|2016-06-17|2016-06-22|1|0
190|Jason Griffin|double_room|holiday|2016-06-09|2016-06-21|6|0
191|Shane Williams|conference_room_small|wedding|2016-04-24|2016-05-01|9|29
192|Jamie Moore|deluxe_room|holiday|2016-05-25|2016-05-27|3|3
193|Mary Andrews|conference_room_large|party|2016-06-24|2016-06-29|5|11
194|Melinda Campos|normal_room|business|2016-05-24|2016-05-27|1|1
195|Sandra Kirby|deluxe_room|holiday|2016-04-19|2016-04-26|1|0
196|Angel Warner|deluxe_room|holiday|2016-05-22|2016-05-26|4|0
197|Denise Evans|conference_room_small|conference|2016-06-29|2016-06-30|20|0
198|James Willis|normal_room|business|2016-04-08|2016-04-10|1|0
199|Monica White|double_room|holiday|2016-06-08|2016-06-11|1|0
200|Daniel Wood|conference_room_small|party|2016-06-23|2016-06-28|25|25
201|Travis Bradley|conference_room_large|party|2016-04-04|2016-04-08|34|18
202|Brian Matthews|normal_room|business|2016-05-27|2016-05-29|1|0
203|Mark Madden|deluxe_room|business|2016-05-03|2016-05-07|1|0
204|Chelsey Wagner|normal_room|holiday|2016-06-06|2016-06-09|1|2
205|Joshua Arnold|conference_room_large|conference|2016-04-23|2016-04-26|34|0
206|Shannon Brooks|conference_room_large|conference|2016-05-21|2016-05-23|12|0
207|Kara Reynolds|normal_room|holiday|2016-04-13|2016-04-17|2|5
208|Joseph Hinton|conference_room_small|wedding|2016-06-29|2016-06-30|27|18
209|Anita Valdez|conference_room_large|party|2016-04-11|2016-04-21|32|23
210|Tiffany Lyons|normal_room|holiday|2016-05-04|2016-05-07|2|3
211|James Williams|double_room|business|2016-04-18|2016-04-25|2|0
212|Tanya Fisher|normal_room|business|2016-04-23|2016-04-27|2|0
213|Anthony Waters|conference_room_large|party|2016-04-06|2016-04-13|30|15
214|Christopher Smith|double_room|business|2016-05-30|2016-05-31|1|0
215|Kendra Beard|deluxe_room|business|2016-04-04|2016-04-10|2|1
216|Christina Cantrell|double_room|holiday|2016-06-22|2016-06-24|4|6
217|David Jones|normal_room|holiday|2016-04-27|2016-05-14|3|0
218|Courtney English|deluxe_room|holiday|2016-06-24|2016-06-27|5|1
219|Alex Stewart|conference_room_large|conference|2016-05-05|2016-05-08|17|0
220|Mckenzie Johnson|double_room|business|2016-05-10|2016-05-16|3|1
221|Gina Jones|conference_room_large|party|2016-04-26|2016-05-03|43|23
222|Randall Davies|conference_room_small|wedding|2016-04-15|2016-04-21|31|35
223|Philip Mitchell|deluxe_room|business|2016-06-13|2016-06-19|2|0
224|Jacob Gonzalez MD|conference_room_large|conference|2016-06-20|2016-06-21|17|0
225|Jennifer Davis|conference_room_large|conference|2016-05-06|2016-05-08|25|0
226|Marcus Paul|deluxe_room|holiday|2016-05-27|2016-05-29|5|1
227|Kayla Avery|conference_room_large|wedding|2016-05-03|2016-05-08|30|26
228|Jennifer Mccoy|conference_room_small|party|2016-05-03|2016-05-12|17|23
229|Stephanie Owens|conference_room_large|party|2016-05-25|2016-06-02|34|35
230|Andrew Horne|deluxe_room|business|2016-05-31|2016-06-03|1|0
231|Stephanie Esparza|normal_room|holiday|2016-06-14|2016-06-18|1|0
232|Adam Clark|normal_room|business|2016-06-27|2016-07-01|2|2
233|Aaron Oneal|normal_room|holiday|2016-04-07|2016-04-14|1|0
234|Matthew Ramos|deluxe_room|business|2016-04-03|2016-04-05|1|0
235|Brittney Pittman|double_room|holiday|2016-05-24|2016-05-28|2|2
236|Krista James|conference_room_small|wedding|2016-06-14|2016-06-17|24|40
237|Joseph Middleton|conference_room_small|party|2016-04-13|2016-04-20|20|44
238|Nathan Henderson|normal_room|holiday|2016-04-19|2016-04-29|2|1
239|Luis Welch|normal_room|business|2016-06-11|2016-06-15|5|0
240|Andrew Glover|conference_room_small|conference|2016-06-03|2016-06-11|19|0
241|Michele Sanchez|double_room|business|2016-04-08|2016-04-17|1|0
242|April Collins|conference_room_large|conference|2016-05-17|2016-05-20|16|0
243|David Abbott|double_room|holiday|2016-04-22|2016-04-24|1|0
244|Danielle Richardson|deluxe_room|business|2016-04-27|2016-05-01|5|2
245|Janet Horn DVM|deluxe_room|holiday|2016-06-06|2016-06-08|4|0
246|Joann Morris|conference_room_large|conference|2016-05-07|2016-05-10|26|0
247|Garrett Beck|deluxe_room|holiday|2016-04-05|2016-04-08|3|2
248|Nathaniel Johnson|double_room|business|2016-04-14|2016-04-16|3|0
249|Natasha Hill|double_room|holiday|2016-05-29|2016-06-02|4|2
250|Dylan Hernandez|double_room|business|2016-05-14|2016-05-15|6|0
251|Charles Ford|double_room|business|2016-04-29|2016-05-03|3|2
252|Sandra Wiley|double_room|holiday|2016-04-04|2016-04-09|2|0
253|Dr. Mary Phillips|deluxe_room|business|2016-04-19|2016-04-22|1|2
254|Scott Allen|conference_room_small|wedding|2016-06-20|2016-07-01|28|43
255|Tammy Gutierrez|conference_room_small|party|2016-04-07|2016-04-08|36|24
256|Steven Mack|conference_room_small|conference|2016-04-11|2016-04-16|27|0
257|Ruben Fisher|conference_room_large|party|2016-04-12|2016-04-17|23|31
258|Garrett Anderson|conference_room_small|conference|2016-04-30|2016-05-06|34|0
259|Ashley Soto|deluxe_room|business|2016-05-14|2016-05-18|1|2
260|Vanessa Huynh|conference_room_large|wedding|2016-06-25|2016-06-29|26|23
261|Brandon Graham|conference_room_small|conference|2016-05-04|2016-05-18|23|0
262|Maria Glenn|deluxe_room|holiday|2016-04-21|2016-04-23|1|0
263|Kyle Esparza|conference_room_small|party|2016-06-14|2016-06-15|31|35
264|Kyle Porter|conference_room_large|conference|2016-06-25|2016-06-28|36|0
265|Christopher Andrews|conference_room_small|wedding|2016-05-27|2016-05-28|18|12
266|Vincent Hall|double_room|business|2016-06-03|2016-06-08|3|0
267|Jose Pugh|conference_room_small|wedding|2016-04-30|2016-05-03|18|23
268|Bryan Griffin|normal_room|holiday|2016-04-09|2016-04-11|1|2
269|Maria Robinson|normal_room|holiday|2016-04-16|2016-04-20|2|3
270|Katherine Smith|normal_room|business|2016-05-14|2016-05-18|3|1
271|Danny Gilbert|double_room|holiday|2016-05-24|2016-05-27|1|3
272|Nancy Munoz|conference_room_small|conference|2016-06-17|2016-06-20|14|0
273|Michelle Moore|double_room|business|2016-05-17|2016-05-23|1|1
274|Kelly Nash|double_room|business|2016-05-18|2016-05-23|3|0
275|William Gould|deluxe_room|holiday|2016-06-21|2016-06-27|4|2
276|Bryan Evans|normal_room|business|2016-04-05|2016-04-07|2|0
277|Timothy Edwards|double_room|business|2016-05-02|2016-05-05|1|0
278|Victor Jackson|conference_room_large|party|2016-05-09|2016-05-12|16|11
279|Willie Woods|conference_room_large|conference|2016-04-04|2016-04-11|9|0
280|Ryan Wilson|normal_room|holiday|2016-05-21|2016-05-24|4|0
281|Carlos Bishop|conference_room_small|party|2016-06-29|2016-07-07|11|31
282|Jeffrey Jimenez|double_room|business|2016-04-11|2016-04-25|2|0
283|Nicole Lutz|deluxe_room|holiday|2016-04-12|2016-04-19|5|0
284|Robert Deleon|normal_room|business|2016-04-28|2016-05-08|4|0
285|Kristi Dominguez|conference_room_small|wedding|2016-06-09|2016-06-11|16|17
286|Daniel Johnson|conference_room_large|conference|2016-05-04|2016-05-19|13|0
287|Tiffany Anderson|double_room|business|2016-05-20|2016-05-25|2|0
288|Phillip Montgomery|deluxe_room|business|2016-04-17|2016-04-20|1|0
289|Jamie Lutz|double_room|business|2016-06-13|2016-06-15|1|0
290|Jeremy Jones|conference_room_large|party|2016-05-29|2016-06-01|41|0
291|Eric Watkins|normal_room|business|2016-05-03|2016-05-12|2|1
292|Tyrone Harris|conference_room_small|conference|2016-06-23|2016-06-28|47|0
293|Brent Foster|normal_room|business|2016-04-10|2016-04-16|2|0
294|Joanna Dickerson|double_room|business|2016-04-08|2016-04-15|5|0
295|Mark Noble|double_room|holiday|2016-05-01|2016-05-14|2|1
296|Dr. Mackenzie Edwards|double_room|holiday|2016-06-07|2016-06-08|4|2
297|Melissa Jacobs|conference_room_small|conference|2016-05-08|2016-05-10|22|0
298|Scott Crane|normal_room|business|2016-06-12|2016-06-23|4|0
299|Frank Davis|conference_room_small|party|2016-06-16|2016-06-18|15|19
300|Nicholas Black|double_room|business|2016-05-31|2016-06-02|1|1
301|Robin Nicholson|deluxe_room|business|2016-04-17|2016-04-24|2|1
302|Wendy Torres|conference_room_large|wedding|2016-06-25|2016-06-30|10|43
303|Christine Mcclure DVM|normal_room|holiday|2016-05-01|2016-05-05|7|0
304|Gary Brewer|conference_room_large|party|2016-05-12|2016-05-16|31|28
305|Anne Meyers|double_room|business|2016-06-28|2016-06-29|7|1
306|David Patterson|deluxe_room|business|2016-05-04|2016-05-07|1|1
307|Courtney Young|conference_room_large|party|2016-05-28|2016-06-04|39|17
308|Joseph Mccoy|double_room|holiday|2016-05-09|2016-05-13|4|1
309|Yvonne Heath|conference_room_large|conference|2016-06-16|2016-06-23|34|0
310|Brittany Glenn PhD|conference_room_large|conference|2016-05-25|2016-06-03|38|0
311|Christy Cuevas|conference_room_large|wedding|2016-04-29|2016-05-05|12|21
312|Karen Stewart|conference_room_large|wedding|2016-04-13|2016-04-22|17|16
313|Eric Adams|double_room|business|2016-05-12|2016-05-17|1|0
314|Tyler Schneider|conference_room_small|conference|2016-06-05|2016-06-12|19|0
315|Ryan Wilson|deluxe_room|business|2016-06-20|2016-06-26|1|0
316|Kelly Perez|normal_room|holiday|2016-05-31|2016-06-06|2|2
317|Margaret Johnson|conference_room_small|conference|2016-05-20|2016-05-26|41|0
318|Austin Thompson|conference_room_small|party|2016-06-27|2016-06-28|37|26
319|Donna Anderson|conference_room_large|wedding|2016-06-21|2016-06-27|26|19
320|Marcus Quinn|conference_room_large|conference|2016-04-04|2016-04-16|27|0
321|Steven Carter|double_room|holiday|2016-05-31|2016-06-03|5|2
322|Michael Mayo|conference_room_small|party|2016-05-06|2016-05-11|12|7
323|Jamie Weaver|double_room|business|2016-06-26|2016-07-04|1|0
324|Kim Jacobs|normal_room|business|2016-04-07|2016-04-13|3|0
325|Michael Bartlett|double_room|holiday|2016-04-21|2016-04-23|1|4
326|Jasmine Brown|double_room|business|2016-05-11|2016-05-15|3|1
327|Mrs. Kristina Acosta|double_room|holiday|2016-05-01|2016-05-05|3|0
328|Michelle Norton|normal_room|holiday|2016-05-07|2016-05-09|6|3
329|Andrew Frederick|normal_room|holiday|2016-06-09|2016-06-11|1|1
330|Danielle Branch|conference_room_large|party|2016-05-23|2016-05-24|23|37
331|Nicole Howard|double_room|business|2016-06-15|2016-06-17|2|1
332|Charles Robinson|conference_room_large|party|2016-06-26|2016-06-27|17|9
333|Jacob Torres|normal_room|business|2016-05-13|2016-05-22|5|1
334|Lauren Moore|normal_room|holiday|2016-06-09|2016-06-11|1|4
335|Elizabeth Sanchez|conference_room_large|wedding|2016-05-21|2016-05-31|45|23
336|Laura Mendoza|conference_room_large|conference|2016-05-02|2016-05-09|19|0
337|Jason Charles|double_room|holiday|2016-05-10|2016-05-16|2|0
338|Ashley Smith|conference_room_large|wedding|2016-04-26|2016-05-08|16|27
339|Jeffrey Martinez|conference_room_large|party|2016-05-09|2016-05-16|33|26
340|Lynn English|conference_room_small|party|2016-06-17|2016-06-27|10|26
341|Colleen Dunn|double_room|holiday|2016-05-21|2016-05-29|1|2
342|Michelle Phillips|double_room|holiday|2016-05-27|2016-06-01|3|0
343|Jason Mathis|conference_room_large|conference|2016-05-05|2016-05-15|16|0
344|Diane Marshall|conference_room_small|wedding|2016-06-27|2016-06-29|22|31
345|Sherri Hoover|conference_room_small|wedding|2016-04-16|2016-04-22|44|17
346|Karen Thompson|conference_room_small|party|2016-04-22|2016-04-26|21|29
347|Ann Vang|conference_room_small|party|2016-04-19|2016-04-25|10|36
348|Laura Curtis|deluxe_room|business|2016-06-18|2016-06-21|3|0
349|Ashley Saunders DDS|double_room|holiday|2016-04-11|2016-04-13|4|1
350|Jason Montoya|conference_room_large|party|2016-05-28|2016-06-07|36|29
351|Phyllis Schneider|normal_room|business|2016-04-04|2016-04-07|2|0
352|Lisa Munoz|normal_room|business|2016-06-01|2016-06-05|4|1
353|Colleen Miller|conference_room_large|party|2016-05-13|2016-05-20|37|24
354|Alexander Norris|deluxe_room|holiday|2016-05-11|2016-05-16|2|0
355|Tim Parks|conference_room_large|wedding|2016-05-06|2016-05-09|18|44
356|Melissa Cain|normal_room|business|2016-05-10|2016-05-19|1|0
357|Bryan Trevino|conference_room_large|wedding|2016-06-28|2016-07-05|20|37
358|James Harris|deluxe_room|holiday|2016-05-24|2016-05-28|1|0
359|Anthony Arnold|normal_room|business|2016-05-13|2016-05-15|1|0
360|Eric Miller|double_room|holiday|2016-04-08|2016-04-18|4|1
361|Cory Day|deluxe_room|business|2016-04-30|2016-05-08|5|2
362|Joyce Griffith|conference_room_small|conference|2016-05-25|2016-06-03|26|0
363|Cassandra Boyle|conference_room_small|wedding|2016-05-18|2016-05-21|24|9
364|Lisa Robinson|conference_room_small|party|2016-05-10|2016-05-14|23|13
365|Erin Schneider|deluxe_room|holiday|2016-05-09|2016-05-31|5|0
366|Sandra Harper|deluxe_room|business|2016-06-26|2016-07-02|3|0
367|Andrew Roberson|conference_room_large|conference|2016-06-04|2016-06-06|20|0
368|Daniel Jensen|conference_room_large|conference|2016-05-02|2016-05-08|21|0
369|Mark Mitchell|deluxe_room|holiday|2016-04-21|2016-04-24|2|0
370|Vickie Williams|conference_room_large|wedding|2016-05-16|2016-05-22|40|21
371|Andrew Hernandez|deluxe_room|business|2016-04-09|2016-04-10|2|0
372|Mark Johnson|conference_room_small|conference|2016-04-15|2016-04-22|9|0
373|Jodi Ibarra|deluxe_room|holiday|2016-04-11|2016-04-16|2|0
